Config,avg_cpi,avg_speedup
cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_8_L1i_assoc_8,2.2074179999999997,1.3959037411019
cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_4,2.2091611999999996,1.3947305840802877
cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_16,2.2091749999999997,1.394727942180765
cl_256_L2_4MB_L1i_64kB_L1d_128kB_L2_assoc_16_L1d_assoc_4_L1i_assoc_8,2.2091946,1.3947119331028104
cl_256_L1i_64kB,2.2237608,1.3853358831714602
cl_256_L1i_assoc_4,2.235944,1.3731367219059332
cl_256_L1d_128kB,2.2531562000000003,1.3566568487852435
cl_256_L1d_assoc_4,2.2576408,1.3537763933841525
cl_256_L2_4MB,2.2575814000000003,1.3536340449802593
cl_256_L2_assoc_4,2.2612048000000002,1.351530010018745
Cacheline_256,2.2613266,1.3514515790991175
cl_256_L2_assoc_16,2.2614314,1.3513897190842221
cl_256_L2_1MB,2.267454,1.3477296790330064
cl_256_L1d_32kB,2.2702269999999998,1.3458197666049367
cl_256_L1i_assoc_1,2.2862886,1.3320113894143781
cl_256_L1i_16kB,2.2986934,1.326242734778369
cl_256_L1d_assoc_1,2.3078393999999998,1.3222359048188599
cl_128_L1i_64kB,2.6706216,1.206482796346822
cl_128_L1i_assoc_4,2.6707964,1.2063970829202337
cl_128_L1d_128kB,2.70513,1.1749124507419773
cl_128_L2_4MB,2.7065656000000002,1.1735281044839472
cl_128_L1d_assoc_4,2.708488,1.1727738890792945
cl_128_L2_assoc_4,2.7118518000000003,1.170680918327676
Cacheline_128,2.7119709999999997,1.1706181858199394
cl_128_L2_assoc_16,2.7121122,1.1705460438533313
cl_128_L2_1MB,2.7185490000000003,1.166753050160333
cl_128_L1d_32kB,2.7188056,1.166362431199271
cl_128_L1d_assoc_1,2.7375398,1.1571102326089766
cl_128_L1i_16kB,2.732691,1.1564753582658653
cl_128_L1i_assoc_1,2.7310632,1.1555992200211362
L1d_128kB_L1i_64kB_L2_4MB_L2_assoc_16_L1d_assoc_4,3.5422456,1.0336242839109184
L1d_128kB_L1i_64kB_L2_4MB_L2_assoc_16,3.5437260000000004,1.032557423923098
L1d_128kB_L1i_64kB_L2_4MB,3.5439748,1.0324894913765852
L1d_128kB_L1i_64kB,3.5510666,1.028815422048155
L1i_assoc_4,3.5574014,1.0248706293501608
L1i_assoc_8,3.5573880000000004,1.0248691686702702
L1i_64kB,3.5574117999999997,1.0248470284081126
L1d_128kB_L1i_64kB_L2_1MB_L2_assoc_16_L1d_assoc_4,3.5587036,1.0246571562452218
L1d_128kB_L1i_64kB_L2_1MB_L2_assoc_16,3.5603369999999996,1.0236441469303679
L1d_128kB_L1i_64kB_L2_1MB,3.5611993999999996,1.0234041962978178
L1d_128kB,3.5798462,1.0038953254655467
L2_4MB,3.579078,1.0035169329772848
L1d_assoc_8,3.58153,1.0027801901775113
L1d_assoc_4,3.5828024,1.0020177780466648
L2_assoc_4,3.5859452,1.0001068811791995
default,3.5861262000000003,1.0
L2_assoc_32,3.5854766,0.9999214909684234
L2_assoc_64,3.5852618,0.9998888141545146
L2_assoc_16,3.5865223999999998,0.9997971076483937
L2_assoc_2,3.5877586,0.9989885857655555
L1d_32kB,3.592353,0.9961731125592689
L2_1MB,3.5941804,0.9955074888047323
L1d_assoc_1,3.6048634,0.9907562544296897
L1i_16kB,3.6070076,0.9851128357071177
L1i_assoc_1,3.6192398,0.9749218865401266
Cacheline_32,5.514208399999999,0.8269773253967264
Cacheline_16,9.6106558,0.667542427086224
